Source	Target	Weight
106280	149700	4.60153
106280	151630	7.7553
106280	151640	6.96116
106280	161100	4.19717
106280	164330	4.71765
106280	168800	4.87223
106280	169610	5.03183
106280	171450	6.36532
106280	181010	5.59466
106280	181030	3.62931
106280	189300	6.82222
106280	192100	6.64874
106280	229045	3.4923
106280	258800	4.95191
106280	270460	5.18196
106280	275250	5.97213
106300	109650	3.71143
106300	150600	4.48601
106300	180300	3.88109
106300	191390	4.07155
106300	200400	3.65312
106300	266600	3.83453
106300	605225	4.62751
106400	148520	5.48399
106400	148600	4.9596
106400	244850	5.58739
106400	600231	5.95011
106400	602036	4.64755
106500	125530	5.24453
106500	132990	4.31867
106500	133000	8.13723
106500	177350	5.78356
106500	193050	5.70369
106500	227000	5.05663
106500	602036	7.16926
106500	602068	3.45372
106500	604855	3.9023
106500	608579	3.72041
106600	600990	6.2684
106600	602966	6.52754
106600	604547	6.5118
106600	604625	6.96181
106600	608874	6.52478
106700	108800	3.66983
106700	178400	3.56814
106700	208530	3.66108
106700	234810	4.20183
106700	606642	4.29583
106700	607411	4.57408
106750	145100	5.17501
106750	155200	6.98077
106750	155800	6.91345
106750	167900	4.65166
106750	179500	4.92733
106750	179850	5.19574
106900	106990	5.67989
106900	129810	6.96549
106900	129830	8.57001
106900	161050	5.19246
106900	249710	7.14064
106900	301815	7.11235
106900	602077	6.32039
106900	602966	7.09771
106900	603543	6.28427
106900	608874	7.0941
106990	106900	5.67989
106990	125640	5.75791
106990	207700	6.00219
106990	207731	5.10074
106990	601345	5.23806
106995	102650	6.9214
106995	112600	6.85001
106995	112900	8.05251
106995	112910	7.15409
106995	161600	4.44362
106995	174100	5.4175
106995	185700	5.93611
106995	190680	7.84586
106995	206800	6.84096
106995	226110	5.65855
106995	228900	5.4355
106995	276821	5.16504
106995	606895	5.35847
107000	109000	6.99023
107000	135800	5.15479
107000	142700	4.96045
107000	147900	5.12904
107000	168860	5.50808
107000	188200	6.50941
107000	244510	4.58809
107100	141200	4.9314
107100	176450	3.77861
107100	182690	4.62707
107100	256120	5.33549
107100	301800	6.93278
107100	600101	5.79314
107100	605321	4.38262
107200	113480	5.72715
107200	147950	4.74958
107200	227200	6.18672
107200	244200	5.99043
107200	275600	4.42352
107200	301700	7.14137
107250	115800	6.35971
107250	116100	6.361
107250	116800	6.38905
107250	121390	7.41501
107250	217700	5.26262
107250	219150	4.50796
107250	302300	6.36383
107250	309700	5.53759
107300	176860	4.59561
107300	188050	4.52314
107300	188055	4.51057
107300	228960	5.05069
107300	600880	4.10669
107320	152700	4.02396
107320	182410	4.53865
107320	234000	3.73859
107320	605218	4.16385
107320	608437	4.03159
107320	608805	3.62197
107480	164210	5.26295
107480	192350	5.69497
107480	200990	5.597
107480	218600	5.493
107480	243800	5.44997
107480	301800	4.90721
107480	600123	5.46727
107480	601446	5.04517
107500	603802	4.93224
107500	604317	6.08364
107500	604321	6.0859
107500	608393	6.08364
107500	608716	5.24318
107550	120300	6.36051
107550	163050	5.34937
107550	163100	4.09138
107550	163200	4.48811
107550	165630	4.92047
107550	194300	5.36305
107550	216820	6.36185
107550	604622	4.06217
107600	113700	4.75042
107600	207700	4.97511
107600	225280	4.72016
107600	311280	4.84645
107600	602249	4.56005
107601	109730	5.32875
107601	125640	5.00856
107601	182250	4.10301
107601	211800	3.42648
107601	314400	5.01388
107601	600309	4.01948
107601	601345	4.95656
107601	604381	5.7489
107640	107650	4.42324
107640	137763	5.29906
107640	207720	4.74084
107640	258660	3.7965
107640	272120	5.12369
107650	107640	4.42324
107650	137763	4.68212
107650	234100	3.80497
107650	258660	5.19209
107650	605526	3.77584
107700	202550	2.93345
107700	223400	3.30379
107700	224230	2.95419
107700	604519	3.0318
107700	608448	3.51673
107800	108725	4.88393
107800	136120	4.82405
107800	144010	5.10203
107800	152600	4.5014
107800	270900	4.75521
107850	112440	6.50666
107850	119650	5.15547
107850	136540	9.15003
107850	137000	7.76623
107850	157200	5.30242
107850	179850	4.7642
107850	191440	5.60427
107850	608032	7.26906
107900	115400	5.82823
107900	137360	4.61159
107900	191400	5.82771
107900	191440	7.09473
107900	207770	4.73566
107900	223610	6.12414
107900	241600	4.52119
107900	249600	5.11979
107900	601849	5.42439
107900	605946	6.05154
107950	188470	3.89954
107950	188550	4.74279
107950	300488	3.18195
107950	603737	4.15209
107950	607464	4.37912
107950	607893	5.69537
107970	192605	4.86575
107970	601494	4.54816
107970	602087	5.81845
107970	604169	4.47369
107970	608758	4.54941
108000	112910	4.88983
108000	167600	4.72932
108000	187390	4.66034
108000	188100	4.55171
108000	190410	5.32773
108000	602200	4.32774
108010	116860	4.46509
108010	140850	4.43088
108010	601101	3.98909
108010	608354	4.39267
108010	608355	5.69308
108050	109650	3.78051
108050	186580	5.33516
108050	187360	3.92204
108050	208250	4.87326
108050	270200	3.5978
108100	134750	4.52354
108100	135800	4.94916
108100	140600	6.24468
108100	142730	5.5269
108100	182260	6.00627
108100	183840	5.77833
108100	184300	4.36815
108100	208158	4.41142
108100	600668	5.29269
108100	604416	4.55712
108110	108120	6.3719
108110	108140	5.33113
108110	108145	5.30777
108110	114300	5.47276
108110	259780	4.44388
108110	277590	5.35639
108110	314300	3.75866
108120	108110	6.3719
108120	108130	6.33941
108120	108140	6.36704
108120	108145	5.68354
108120	113450	5.02615
108120	193700	5.51092
108120	259780	4.52888
108120	603546	6.04321
108130	108120	6.33941
108130	108140	7.58065
108130	219200	4.74028
108130	226900	5.49707
108130	277990	5.5102
108130	600325	5.17957
108130	603546	5.70852
108140	108110	5.33113
108140	108120	6.36704
108140	108130	7.58065
108140	121070	6.23593
108140	123853	4.35811
108140	158300	5.39575
108140	193700	6.05158
108140	210550	4.55426
108140	219200	4.53737
108140	277720	6.70993
108140	313420	5.17749
108140	601680	5.24939
108145	108110	5.30777
108145	108120	5.68354
108145	166700	4.45711
108145	186500	5.97138
108145	248370	4.86075
108145	258850	5.4028
108145	259050	5.528
108145	259780	4.62961
108145	300232	5.4453
108145	601559	4.19713
108145	601668	5.03168
108145	607561	5.37929
108200	162370	4.87329
108200	211965	5.24568
108200	221650	7.17167
108200	224800	5.33285
108200	300158	5.51402
108200	304590	7.17549
108200	601868	6.72565
108200	602092	6.69446
108200	608641	6.83207
108200	608837	4.72805
108300	143200	6.16052
108300	154780	5.9558
108300	156550	5.54323
108300	184840	6.09339
108300	215150	5.79149
108300	268050	4.85455
108300	277600	4.95369
108300	604841	6.76118
108300	608328	5.27685
108320	106280	6.10081
108320	129100	7.85243
108320	137400	5.57816
108320	161100	5.88823
108320	165150	5.72062
108320	189300	8.14249
108320	257270	5.04878
108320	275250	9.9968
108320	606840	4.90268
108340	146850	5.4588
108340	151020	7.03283
108340	154020	4.375
108340	157860	7.03283
108340	300179	5.71904
108340	312210	6.2522
108340	601400	4.76079
108340	606445	5.05539
108390	204800	6.49288
108390	237450	4.44386
108390	276200	4.63069
108390	276500	6.49288
108390	605019	3.70843
108390	605850	5.76936
108450	164000	4.68473
108450	172870	5.37436
108450	184460	4.67411
108450	210400	4.56254
108450	246000	4.76101
108450	309620	4.40184
108500	105210	4.81818
108500	141500	5.35079
108500	206570	4.00416
108500	601042	5.6805
108500	602481	5.9461
108500	604432	5.51494
108500	606552	5.78901
108500	606554	6.48965
108600	137440	4.83144
108600	182820	4.57739
108600	270550	5.6598
108600	302500	5.54654
108600	604360	6.1422
108600	606721	4.39874
108600	607259	5.72373
108600	607565	5.50756
